Pl.,Bib,Name,Gender,Finish Time,Category Distance
1.,1809,Septiana Nia Swastika,F,1:38:22,15K Female Master
2.,1805,Sinta Wanti,F,1:45:11,15K Female Master
3.,1806,Yustina Wardhani Setyowati,F,1:46:10,15K Female Master
4.,601,SWESTY,F,1:57:22,15K Female Master
5.,1808,Siti Nurjanah,F,2:11:04,15K Female Master
6.,1802,Maria Oktafani,F,2:28:09,15K Female Master
7.,1804,Agustaria Margaretta,F,2:34:18,15K Female Master
8.,1807,Silvia Feronica Tambunan,F,3:09:59,15K Female Master
9.,1803,Fitri Rachmadiarti,F,3:11:23,15K Female Master
10.,1801,Tuty Hikmawaty Cholid,F,3:17:26,15K Female Master
